"module name","version","licenses"
"gulp-sourcemaps@2.6.1","2.6.1","ISC"
"gulp-tap@1.0.1","1.0.1","MIT"
"gulp-util@3.0.8","3.0.8","MIT"
"gulplog@1.0.0","1.0.0","MIT"
"handlebars@4.0.12","4.0.12","MIT"
"has-ansi@2.0.0","2.0.0","MIT"
"has-binary2@1.0.3","1.0.3","MIT"
"has-cors@1.1.0","1.1.0","MIT"
"has-flag@2.0.0","2.0.0","MIT"
"has-flag@3.0.0","3.0.0","MIT"
"has-gulplog@0.1.0","0.1.0","MIT"
"has-symbols@1.0.0","1.0.0","MIT"
"has-value@0.3.1","0.3.1","MIT"
"has-value@1.0.0","1.0.0","MIT"
"has-values@0.1.4","0.1.4","MIT"
"has-values@1.0.0","1.0.0","MIT"
"has@1.0.1","1.0.1","MIT"
"hash-base@2.0.2","2.0.2","MIT"
"hash.js@1.1.3","1.1.3","MIT"
"hat@0.0.3","0.0.3","MIT*"
"hex-color-regex@1.1.0","1.1.0","MIT"
"highlight.js@9.12.0","9.12.0","BSD-3-Clause"
"hmac-drbg@1.0.1","1.0.1","MIT"
"hosted-git-info@2.7.1","2.7.1","ISC"
"hsl-regex@1.0.0","1.0.0","MIT"
"hsla-regex@1.0.0","1.0.0","MIT"
"html-comment-regex@1.1.1","1.1.1","MIT"
"htmlescape@1.1.1","1.1.1","MIT"
"http-errors@1.6.2","1.6.2","MIT"
"http-proxy@1.17.0","1.17.0","MIT"
"https-browserify@1.0.0","1.0.0","MIT"
"husky@1.1.1","1.1.1","MIT"
"iconv-lite@0.4.19","0.4.19","MIT"
"ieee754@1.1.8","1.1.8","BSD-3-Clause"
"ignore@3.3.10","3.3.10","MIT"
"import-cwd@2.1.0","2.1.0","MIT"
"import-from@2.1.0","2.1.0","MIT"
"indexes-of@1.0.1","1.0.1","MIT"
"indexof@0.0.1","0.0.1","MIT*"
"individual@3.0.0","3.0.0","MIT"
"inflight@1.0.6","1.0.6","ISC"
"inherits@2.0.1","2.0.1","ISC"
"inherits@2.0.3","2.0.3","ISC"
"inline-source-map@0.6.2","0.6.2","MIT"
"insert-module-globals@7.0.1","7.0.1","MIT"
"interpret@1.1.0","1.1.0","MIT"
"invert-kv@2.0.0","2.0.0","MIT"
"ipaddr.js@1.6.0","1.6.0","MIT"
"is-absolute-url@2.1.0","2.1.0","MIT"
"is-accessor-descriptor@0.1.6","0.1.6","MIT"
"is-accessor-descriptor@1.0.0","1.0.0","MIT"
"is-arrayish@0.2.1","0.2.1","MIT"
"is-arrayish@0.3.2","0.3.2","MIT"
"is-binary-path@1.0.1","1.0.1","MIT"
"is-buffer@1.1.5","1.1.5","MIT"
"is-builtin-module@1.0.0","1.0.0","MIT"
"is-callable@1.1.4","1.1.4","MIT"
"is-ci@1.2.1","1.2.1","MIT"
"is-color-stop@1.1.0","1.1.0","MIT"
"is-data-descriptor@0.1.4","0.1.4","MIT"
"is-data-descriptor@1.0.0","1.0.0","MIT"
"is-date-object@1.0.1","1.0.1","MIT"
"is-descriptor@0.1.6","0.1.6","MIT"
"is-descriptor@1.0.2","1.0.2","MIT"
"is-directory@0.3.1","0.3.1","MIT"
"is-dotfile@1.0.3","1.0.3","MIT"
"is-equal-shallow@0.1.3","0.1.3","MIT"
"is-extendable@0.1.1","0.1.1","MIT"
"is-extendable@1.0.1","1.0.1","MIT"
"is-extglob@1.0.0","1.0.0","MIT"
"is-extglob@2.1.1","2.1.1","MIT"
"is-fullwidth-code-point@1.0.0","1.0.0","MIT"
"is-fullwidth-code-point@2.0.0","2.0.0","MIT"
"is-glob@2.0.1","2.0.1","MIT"
"is-glob@3.1.0","3.1.0","MIT"
"is-glob@4.0.0","4.0.0","MIT"
"is-number@0.1.1","0.1.1","MIT"
"is-number@2.1.0","2.1.0","MIT"
"is-number@3.0.0","3.0.0","MIT"
"is-number@4.0.0","4.0.0","MIT"
"is-obj@1.0.1","1.0.1","MIT"
"is-object@1.0.1","1.0.1","MIT"
"is-odd@2.0.0","2.0.0","MIT"
"is-plain-object@2.0.4","2.0.4","MIT"
"is-posix-bracket@0.1.1","0.1.1","MIT"
"is-primitive@2.0.0","2.0.0","MIT"
"is-promise@2.1.0","2.1.0","MIT"
"is-regex@1.0.4","1.0.4","MIT"
"is-resolvable@1.1.0","1.1.0","ISC"
"is-stream@1.1.0","1.1.0","MIT"
"is-svg@3.0.0","3.0.0","MIT"
"is-symbol@1.0.2","1.0.2","MIT"
"is-utf8@0.2.1","0.2.1","MIT"
"is-valid-glob@0.3.0","0.3.0","MIT"
"is-windows@1.0.2","1.0.2","MIT"
"isarray@0.0.1","0.0.1","MIT"
"isarray@1.0.0","1.0.0","MIT"
"isarray@2.0.1","2.0.1","MIT"
"isbinaryfile@3.0.3","3.0.3","MIT"
"isexe@2.0.0","2.0.0","ISC"
"isobject@2.1.0","2.1.0","MIT"
"isobject@3.0.1","3.0.1","MIT"
"jasmine-core@3.2.1","3.2.1","MIT"
"js-string-escape@1.0.1","1.0.1","MIT"
"js-tokens@3.0.2","3.0.2","MIT"
"js-yaml@3.12.0","3.12.0","MIT"
"js-yaml@3.7.0","3.7.0","MIT"
"json-parse-better-errors@1.0.2","1.0.2","MIT"
"json-stable-stringify@0.0.1","0.0.1","MIT"
"json-stable-stringify@1.0.1","1.0.1","MIT"
"jsonfile@4.0.0","4.0.0","MIT"
"jsonify@0.0.0","0.0.0","Public Domain"
"jsonparse@1.3.1","1.3.1","MIT"
"karma-browserify@5.3.0","5.3.0","MIT"
"karma-chrome-launcher@2.2.0","2.2.0","MIT"
"karma-firefox-launcher@1.1.0","1.1.0","MIT"
"karma-jasmine@1.1.2","1.1.2","MIT"
"karma@3.0.0","3.0.0","MIT"
"kind-of@3.2.2","3.2.2","MIT"
"kind-of@4.0.0","4.0.0","MIT"
"kind-of@5.1.0","5.1.0","MIT"
"kind-of@6.0.2","6.0.2","MIT"
"labeled-stream-splicer@2.0.0","2.0.0","MIT"
"latlon-geohash@1.1.0","1.1.0","MIT"
"lazystream@1.0.0","1.0.0","MIT"
"lcid@2.0.0","2.0.0","MIT"
"levn@0.3.0","0.3.0","MIT"
"lexical-scope@1.2.0","1.2.0","MIT"
"locate-path@3.0.0","3.0.0","MIT"
"lodash._basecopy@3.0.1","3.0.1","MIT"
"lodash._basetostring@3.0.1","3.0.1","MIT"
"lodash._basevalues@3.0.0","3.0.0","MIT"
"lodash._getnative@3.9.1","3.9.1","MIT"
"lodash._isiterateecall@3.0.9","3.0.9","MIT"
"lodash._reescape@3.0.0","3.0.0","MIT"
"lodash._reevaluate@3.0.0","3.0.0","MIT"
"lodash._reinterpolate@3.0.0","3.0.0","MIT"
"lodash._root@3.0.1","3.0.1","MIT"
"lodash.debounce@4.0.8","4.0.8","MIT"
"lodash.escape@3.2.0","3.2.0","MIT"
"lodash.isarguments@3.1.0","3.1.0","MIT"
"lodash.isarray@3.0.4","3.0.4","MIT"
"lodash.isequal@4.5.0","4.5.0","MIT"
"lodash.keys@3.1.2","3.1.2","MIT"
"lodash.memoize@3.0.4","3.0.4","MIT"
"lodash.memoize@4.1.2","4.1.2","MIT"
"lodash.restparam@3.6.1","3.6.1","MIT"
"lodash.template@3.6.2","3.6.2","MIT"
"lodash.templatesettings@3.1.1","3.1.1","MIT"
"lodash.uniq@4.5.0","4.5.0","MIT"
"lodash@4.17.10","4.17.10","MIT"
"log-symbols@2.2.0","2.2.0","MIT"
"log4js@3.0.5","3.0.5","Apache-2.0"
"lru-cache@2.2.4","2.2.4","MIT"
"lru-cache@4.1.3","4.1.3","ISC"
"lru-queue@0.1.0","0.1.0","MIT"
"magic-string@0.22.5","0.22.5","MIT"
"map-age-cleaner@0.1.2","0.1.2","MIT"
"map-cache@0.2.2","0.2.2","MIT"
"map-visit@1.0.0","1.0.0","MIT"
